name,full_text,protasis,apodosis,witnesses,animal
"""32.N.28""",If a lizard  – someone will file a lawsuit against him.,If a lizard,someone will file a lawsuit against him.,['K 02708+'],lizard
"""32.N.29""",If a lizard  falls and touches him – he will experience evil,If a lizard  falls and touches him,he will experience evil,"['K 02708+', 'K 02708+']",lizard
"""32.N.30""",If a lizard falls behind a man and flops about repeatedly –  he will expierence evil.,If a lizard falls behind a man and flops about repeatedly,he will expierence evil.,"['K 02708+', 'K 02708+']",lizard
"""32.N.Sm0710.11""",If a lizard falls on a man’s foot – a message will arrive for that man and a protective spirit will approach him or a poor/common man will proudly prosper.,If a lizard falls on a man’s foot,a message will arrive for that man and a protective spirit will approach him or a poor/common man will proudly prosper.,[],lizard
"""32.N.Sm0710.12""",If a lizard falls onto a man while he is seated – something/the property of that man will increase.,If a lizard falls onto a man while he is seated,something/the property of that man will increase.,[],lizard
"""32.N.Sm0710.13""",If a lizard falls on top of a man who is celebrating –  that man’s god will have mercy on him.,If a lizard falls on top of a man who is celebrating, that man’s god will have mercy on him.,[],lizard
"""32.N.Sm0710.14""",If entangled lizards fall on a man – that man: wherever he goes will consume a share.,If entangled lizards fall on a man,that man: wherever he goes will consume a share.,[],lizard
"""32.N.Sm0710.15""",If a lizard climbs onto a man’s foot – he will rejoice.,If a lizard climbs onto a man’s foot,he will rejoice.,[],lizard
"""32.N.31""",If a lizard climbs onto a man's bed – that man will consume a share.,If a lizard climbs onto a man's bed,that man will consume a share.,"['K 02708+', 'K 02708+', 'K 03730+', 'K 03730+']",lizard
"""32.N.32""",If a lizard lies on top of a man's bed – he will have children,If a lizard lies on top of a man's bed,he will have children,['K 02708+'],lizard
"""32.N.33""","If a lizard is lying on top of a man's bed and then falls – that man will consume a share, removal of the bed will occur.",If a lizard is lying on top of a man's bed and then falls," that man will consume a share, removal of the bed will occur.","['K 03730+', 'K 03730+', 'K 06912+', 'K 09057+.2', 'K 09057+.2']",lizard
"""32.N.34""",If a lizard climbs onto the bed of a sick man – that sick man's sickness will leave him.,If a lizard climbs onto the bed of a sick man,that sick man's sickness will leave him.,"['K 03730+', 'K 06912+', 'K 06912+']",lizard
"""32.N.K0957(2).6""",If a lizard falls on top of a man when the man is happy –  that man’s god will have mercy on him.,If a lizard falls on top of a man when the man is happy, that man’s god will have mercy on him.,['K 09057+.2'],lizard
"""32.N.K0957(2).7""",If a lizard falls in front of a man – a downfall of his adversary will occur.,If a lizard falls in front of a man,a downfall of his adversary will occur.,['K 09057+.2'],lizard
"""32.N.K0957(2).8""","If a lizard is lying on top of the bed of a man and then falls – that man will consume a share, removal of the bed will occur.",If a lizard is lying on top of the bed of a man and then falls," that man will consume a share, removal of the bed will occur.","['K 09057+.2', 'K 09057+.2']",lizard
"""32.N.K0957(2).9""",If a white lizard is seen – any man.,If   a white lizard is seen,any man.,"['K 09057+.2', 'K 09057+.2']",lizard
"""32.N.K0957(2).10""",If a lizard that doesn’t have a tail is seen – the man’s wife will bear so many children that there won’t be any bread lit: no bread will be placed for his mouth.,If a lizard that doesn’t have a tail is seen,the man’s wife will bear so many children that there won’t be any bread lit: no bread will be placed for his mouth.,"['K 09057+.2', 'K 09057+.2']",lizard
"""32.N.K0957(2).13""",If a lizard  he seizes – goodness ...,If a lizard  he seizes,goodness ...,"['K 09057+.2', 'K 09057+.2']",lizard
"""32.N.2""","If a lizard that has two tails, and the right one is long, is seen in a man’s house – divine wrath will repeatedly befall that man.","If a lizard that has two tails, and the right one is long, is seen in a man’s house ",divine wrath will repeatedly befall that man.,"['K 03730+', 'K 06912+']",lizard
"""32.N.3""","If a lizard that has two tails, and the right one is short, but the left one is long – that man in good","If a lizard that has two tails, and the right one is short, but the left one is long ",that man in good,['K 06912+'],lizard
"""32.N.4""",If a lizard that has two tails is repeatedly seen in a man’s house – a flood will come.,If a lizard that has two tails is repeatedly seen in a man’s house,a flood will come.,"['K 06912+', 'K 06912+']",lizard
"""32.N.5""","If a white lizard that has two tails is seen in a man’s house – that house  its  that has two tails  is seen, that omen is not",If a white lizard that has two tails is seen in a man’s house," that house  its  that has two tails  is seen, that omen is not","['K 06912+', 'K 06912+']",lizard
"""32.N.7""",If a lizard that has two tails falls in front of a man – that man will prevail over lit: stand on his opponent.,If a lizard that has two tails falls in front of a man,that man will prevail over lit: stand on his opponent.,"['K 03730+', 'K 03730+', 'K 06912+', 'K 06912+']",lizard
"""32.N.8""","If a lizard that has two tails falls on top of a man – that man: wherever he goes, he will experience good fortune.",If a lizard that has two tails falls on top of a man," that man: wherever he goes, he will experience good fortune.","['K 03730+', 'K 03730+', 'K 06912+', 'K 06912+']",lizard
"""32.N.10""",If a lizard that has two tails  on top of a sick man –  and he will expand his property.,If a lizard that has two tails  on top of a sick man,and he will expand his property.,"['K 03730+', 'K 06912+']",lizard
"""32.N.11""",If a lizard that doesn’t have a tail is seen – the man’s wife will bear so many children that there won’t be any bread lit: no bread will be placed in his mouth.,If a lizard that doesn’t have a tail is seen,the man’s wife will bear so many children that there won’t be any bread lit: no bread will be placed in his mouth.,"['K 03730+', 'K 03730+', 'K 09057.2', 'K 09057.2']",lizard
"""32.N.13""",If a variegated lizard falls on top of a man and eats  – that house will become wealthy.,If a variegated lizard falls on top of a man and eats,that house will become wealthy.,"['K 03730+', 'K 03730+']",lizard
"""32.N.16""",If a lizard climbs onto a man   – he will be happy.,If a lizard climbs onto a man,he will be happy.,['K 03730+'],lizard
"""32.N.17""",If a lizard climbs onto a man’s foot – he will rejoice.,If a lizard climbs onto a man’s foot,he will rejoice.,"['K 03730+', 'K 03730+']",lizard
"""32.N.18""",If a lizard  on a man’s foot – a message will arrive in that house.,If a lizard  on a man’s foot,a message will arrive in that house.,['K 03730+'],lizard
"""32.N.19""","If a lizard falls on a man’s foot – a message will arrive for the man and a protective spirit will approach him, or a poor/common man will proudly prosper.",If a lizard falls on a man’s foot," a message will arrive for the man and a protective spirit will approach him, or a poor/common man will proudly prosper.","['K 03730+', 'K 03730+']",lizard
"""32.N.20""",If a lizard falls onto a man while he is seated – something/the property of that man will increase.,If a lizard falls onto a man while he is seated,something/the property of that man will increase.,['K 03730+'],lizard
"""32.N.62""",If a lizard walks about on a pregnant woman – that woman will give birth to a male.,If a lizard walks about on a pregnant woman,that woman will give birth to a male.,"['K 03730+', 'K 06912+', 'K 09057+.2']",lizard
"""32.N.63""",If a lizard walks about on an unmarried young woman – a prominent person will marry that woman.,If a lizard walks about on an unmarried young woman,a prominent person will marry that woman.,"['K 03730+', 'K 06912+']",lizard
"""32.N.64""","If a lizard ... house  –  will have a god, the owner of that house will make a man's son content.",If a lizard ... house,"  will have a god, the owner of that house will make a man's son content.",['K 03730+'],lizard
"""32.N.Sm0710.5""",If a lizard that has two tails is repeatedly seen in a man’s house – a flood will come.,If a lizard that has two tails is repeatedly seen in a man’s house,a flood will come.,[],lizard
"""32.N.37""",If a lizard falls on top of a man's sleeping place – removal of the bed.,If a lizard falls on top of a man's sleeping place,removal of the bed.,['K 02708+'],lizard
"""32.N.37""",If a lizard falls opposite a man's couch – relocation of the bed.,If a lizard falls opposite a man's couch,relocation of the bed.,['K 02708+'],lizard
"""32.N.39""",If a lizard walks about on top of a man's bed – removal of the bed.,If a lizard walks about on top of a man's bed,removal of the bed.,"['K 02708+', 'K 02708+', 'K 03730+', 'K 06912+']",lizard
"""32.N.39""",If a lizard walks about on top of a man's bed – relocation of the bed.,If a lizard walks about on top of a man's bed,relocation of the bed.,"['K 02708+', 'K 02708+', 'K 03730+', 'K 06912+']",lizard
"""32.N.40""",If entangled lizards fall on a man – that man wherever he goes will consume a share.,If entangled lizards fall on a man,that man wherever he goes will consume a share.,"['K 02708+', 'K 03730+']",lizard
"""32.N.51""",If a lizard carrying a snake stares at a man – that man will marry another woman.,If a lizard carrying a snake stares at a man,that man will marry another woman.,"['K 02708+', 'K 02708+', 'K 03730+']",lizard
"""32.N.52""",If a lizard gives birth in the path to a man's house – abandonment of the house.,If a lizard gives birth in the path to a man's house,abandonment of the house.,['K 02708+'],lizard
"""32.N.53""",If a lizard lays eggs in the furniture of a man's house – dispersal of the house.,If a lizard lays eggs in the furniture of a man's house,dispersal of the house.,"['K 02708+', 'K 02708+']",lizard
"""32.N.54""",If a lizard gives birth in the ḫaruru part of a millstone of a man's house – dispersal of the house.,If a lizard gives birth in the ḫaruru part of a millstone of a man's house,dispersal of the house.,"['K 02708+', 'K 02708+']",lizard
"""32.N.54""",If a lizard gives birth in the ḫaruru part of a millstone–dispersal of the house.,If a lizard gives birth in the ḫaruru part of a millstone,dispersal of the house.,"['K 02708+', 'K 02708+']",lizard
"""32.N.56""",If a lizard lays eggs in a mudê a wooden object of a man’s house – the house,If a lizard lays eggs in a mudê a wooden object of a man’s house,the house,['K 02708+'],lizard
"""32.N.57""",If a lizard seizes   in a man's house – that house,If a lizard seizes   in a man's house,that house,['K 02708+'],lizard
"""32.N.59""",If a lizard crawls into lit. enters the furniture of a man's house  – abandonment of the house.,If a lizard crawls into lit. enters the furniture of a man's house,abandonment of the house.,"['K 03730+', 'K 03730+']",lizard
"""32.N.60""",If a lizards are regularly seen in a private room of a man's house – the mistress of the house will be happy.,If a lizards are regularly seen in a private room of a man's house,the mistress of the house will be happy.,['K 03730+'],lizards
"""32.N.Sm0710.6""",If a lizard is repeatedly seen in a man's house – that house,If a lizard is repeatedly seen in a man's house,that house,[],lizard
"""32.N.Sm0710.7""",If a lizard that doesn’t have a tail is seen – the man’s wife will bear so many children that there won’t be any bread lit: no bread will be placed in his mouth.,If a lizard that doesn’t have a tail is seen,the man’s wife will bear so many children that there won’t be any bread lit: no bread will be placed in his mouth.,[],lizard
"""32.N.Sm0710.8a""",If there is a white lizard in a man's house – dispersal of the house.,If there is a white lizard in a man's house,dispersal of the house.,[],there
"""32.N.Sm0710.8b""",If there is a black lizard in a man's house – that house will have a god.,If there is a black lizard in a man's house,that house will have a god.,[],there
"""32.N.Sm0710.9""",If a lizard falls  – that man will have a god and a lamassu a protective spirit.,If a lizard falls,that man will have a god and a lamassu a protective spirit.,[],lizard
"""32.N.Sm0710.10""",If a lizard falls in front of a man – a downfall of his adversary will occur.,If a lizard falls in front of a man,a downfall of his adversary will occur.,[],lizard
"""32.N.Sm0710.16""",If a lizard climbs onto a man's bed – that man will consume a share.,If a lizard climbs onto a man's bed,that man will consume a share.,[],lizard
"""32.N.Sm0710.17""","If a lizard is lying on top of a man's bed and then falls – that man will consume a share, removal of the bed will occur.",If a lizard is lying on top of a man's bed and then falls," that man will consume a share, removal of the bed will occur.",[],lizard
"""32.N.K0957(2).4""",If a lizard turns back in the road in front of a man – that man will attain his desire whereever he goes.,If a lizard turns back in the road in front of a man,that man will attain his desire whereever he goes.,"['K 09057+.2', 'K 09057+.2']",lizard
"""32.N.K0957(2).5""",If a lizard walks about on a pregnant woman – that woman will give birth to a male.,If a lizard walks about on a pregnant woman,that woman will give birth to a male.,['K 09057+.2'],lizard
"""32.N.42""",If there is a white lizard in a man's house – dispersal of the house.,If there is a white lizard in a man's house,dispersal of the house.,"['K 02708+', 'K 03730+']",lizard
"""32.N.43""",If there is a black lizard in a man's house – that house will have a god.,If there is a black lizard in a man's house,that house will have a god.,['K 03730+'],lizard
"""32.N.44""",If there is a red lizard in a man's house – that house will have riches.,If there is a red lizard in a man's house,that house will have riches.,"['K 03730+', 'K 03730+']",lizard
"""32.N.45""",If a damageed lizard    is seen – construction : dilapidation of the house.,If a damageed lizard    is seen,construction : dilapidation of the house.,"['K 03730+', 'K 03730+']",lizard
"""32.N.45""",If a damaged lizard is seen  – construction of the house.,If a damaged lizard is seen,construction of the house.,"['K 03730+', 'K 03730+']",lizard
"""32.N.46""",If a lizard calls out all day in a man's house – a fall of the house will occur.,If a lizard calls out all day in a man's house,a fall of the house will occur.,['K 03730+'],lizard
"""32.N.46""",If a lizard cries out in a man's house all day – abandonment of the house.,If a lizard cries out in a man's house all day,abandonment of the house.,['K 03730+'],lizard
"""32.N.47""",If a lizard calls out all night in a man's house – removal of the house will occur.,If a lizard calls out all night in a man's house,removal of the house will occur.,['K 03730+'],lizard
"""32.N.47""",If a lizard cries out in a man's house all night – relocation of the household.,If a lizard cries out in a man's house all night,relocation of the household.,['K 03730+'],lizard
"""32.N.48""",If a lizard is seen in water or in beer – that house: an attack will occur against it.,If a lizard is seen in water or in beer,that house: an attack will occur against it.,['K 03730+'],lizard
"""32.N.49""",If a lizard is seen eating a snake in a man's house – for that house: a <fam>ine will overtake it.,If a lizard is seen eating a snake in a man's house,for that house: a <fam>ine will overtake it.,"['K 02708+', 'K 03730+']",lizard
"""32.N.50""",If a lizard carrying a snake stares at a woman – that woman will be married together with a rival.,If a lizard carrying a snake stares at a woman,that woman will be married together with a rival.,"['K 02708+', 'K 03730+']",lizard
"""32.N.50""",If a lizard carrying a snake is seen by a woman – that woman will be married to the husband of a friend.,If a lizard carrying a snake is seen by a woman,that woman will be married to the husband of a friend.,"['K 02708+', 'K 03730+']",lizard
"""32.12""",If a lizard ... jumps on a man – that man will receive lit: see a good report.,If a lizard ... jumps on a man,that man will receive lit: see a good report.,"['VAT 10167', 'VAT 10167']",lizard
"""32.13""",If a lizard climbs from the ground onto a man – that man will experience a profit.,If a lizard climbs from the ground onto a man,that man will experience a profit.,"['VAT 10167', 'VAT 10167']",lizard
"""32.15""","If a lizard falls onto a man's right hand – that man will receive a profit, he will consume his profit.",If a lizard falls onto a man's right hand," that man will receive a profit, he will consume his profit.",['VAT 10167'],lizard
"""32.A.78""",If a lizard is twisted like a cord and walks about in a man's house – the owner,If a lizard is twisted like a cord and walks about in a man's house,the owner,['VAT  10167'],lizard
"""32.A.80""",If a lizard falls into an oil pot – the owner of the house will die and  .,If a lizard falls into an oil pot,the owner of the house will die and  .,"['VAT  10167', 'VAT  10167']",lizard
"""32.A.71""",If a lizard  climbs – that man will have a male and a female protective spirit .,If a lizard  climbs,that man will have a male and a female protective spirit .,['VAT  10167'],lizard
"""32.A.66""",If there is a  lizard in a man's house – that house,If there is a  lizard in a man's house,that house,['VAT  10167'],lizard
"""32.A.67""",If there is a  lizard in a man's house – that man,If there is a  lizard in a man's house,that man,['VAT  10167'],lizard
"""32.A.68""",If a lizard ... man's  keeps making noise at night – downfall,If a lizard ... man's  keeps making noise at night,downfall,['VAT  10167'],lizard
"""32.A.68""",If  in a man's  keeps making a noise in the night–downfall of,If  in a man's  keeps making a noise in the night,downfall of,['VAT  10167'],
"""32.A.69""",If a lizard climbs onto a man and moves about – that man .,If a lizard climbs onto a man and moves about,that man .,['VAT  10167'],lizard
"""32.A.70""",If a lizard  jumps  a man – that man .,If a lizard  jumps  a man,that man .,['VAT  10167'],lizard
